trans_table	taxon	level
5	Scathophagidae	family
5	Chironomidae	family
5	Vespidae	family
2	Cyprinidae	family
5	Zodariidae	family
5	Entomobryidae	family
5	Notodontidae	family
5	Alpheidae	family
5	Phoridae	family
5	Saturniidae	family
5	Noctuidae	family
5	Gelechiidae	family
5	Gammaracanthidae	family
5	Cicadellidae	family
5	Latridiidae	family
5	Erebidae	family
5	Aphididae	family
2	Chaenopsidae	family
5	Pyralidae	family
5	Geometridae	family
5	Formicidae	family
5	Sciaridae	family
5	Hesperiidae	family
5	Araneidae	family
2	Canidae	family
5	Lycaenidae	family
2	Schilbeidae	family
5	Ichneumonidae	family
5	Tortricidae	family
5	Carabidae	family
5	Eurytheneidae	family
5	Leuctridae	family
5	Muricidae	family
5	Linyphiidae	family
5	Coenagrionidae	family
5	Antedonidae	family
5	Curculionidae	family
5	Philodromidae	family
5	Melandryidae	family
5	Crabronidae	family
5	Nymphalidae	family
5	Psychodidae	family
5	Lycosidae	family
5	Crambidae	family
5	Choreutidae	family
2	Hylidae	family
2	Gekkonidae	family
5	Sperchontidae	family
4	Rhizostomatidae	family
2	Soricidae	family
2	Colubridae	family
5	Chrysomelidae	family
2	Phyllostomidae	family
5	Nolidae	family
2	Gobiidae	family
5	Glomeridae	family
2	Bufonidae	family
5	Agromyzidae	family
2	Hynobiidae	family
5	Theridiidae	family
5	Ochodaeidae	family
5	Braconidae	family
5	Calliphoridae	family
2	Ambassidae	family
2	Istiophoridae	family
2	Carcharhinidae	family
5	Tachinidae	family
5	Molannidae	family
5	Lasiocampidae	family
5	Tenthredinidae	family
5	Cambaridae	family
5	Sphingidae	family
2	Nemacheilidae	family
5	Mycetophilidae	family
5	Ceratopogonidae	family
5	Littorinidae	family
5	Hydropsychidae	family
2	Lutjanidae	family
5	Baetidae	family
5	Lygaeidae	family
5	Depressariidae	family
2	Apogonidae	family
5	Syrphidae	family
5	Bombycidae	family
5	Pterophoridae	family
5	Diapriidae	family
5	Cavoliniidae	family
2	Alligatoridae	family
5	Chamaemyiidae	family
2	Salmonidae	family
5	Yponomeutidae	family
5	Meloidae	family
5	Oecophoridae	family
5	Tabanidae	family
5	Athienemanniidae	family
5	Pergidae	family
2	Lepisosteidae	family
2	Muridae	family
5	Sesiidae	family
5	Tineidae	family
5	Tephritidae	family
5	Brachycentridae	family
5	Helicidae	family
5	Chrysididae	family
5	Philopotamidae	family
5	Sphaeroceridae	family
5	Caeciliusidae	family
5	Portunidae	family
2	Cricetidae	family
2	Dactyloidae	family
2	Coryphaenidae	family
5	Anthomyiidae	family
5	Pieridae	family
5	Drepanidae	family
5	Lonchaeidae	family
5	Lumbricidae	family
2	Cobitidae	family
5	Leptohyphidae	family
5	Megalyridae	family
2	Emballonuridae	family
5	Paraonidae	family
5	Histeridae	family
5	Lypusidae	family
5	Perlidae	family
5	Culicidae	family
5	Centropagidae	family
2	Limnodynastidae	family
2	Pimelodidae	family
5	Conoesucidae	family
5	Staphylinidae	family
5	Halictidae	family
5	Planorbidae	family
2	Rhinolophidae	family
5	Pentatomidae	family
2	Heterodontidae	family
5	Tipulidae	family
5	Calliopiidae	family
5	Autostichidae	family
5	Coleophoridae	family
5	Flatidae	family
5	Tetragnathidae	family
2	Microhylidae	family
2	Curimatidae	family
5	Sepsidae	family
5	Calanidae	family
5	Polyceridae	family
2	Tayassuidae	family
5	Rhyparochromidae	family
5	Limnephilidae	family
5	Inachidae	family
5	Libellulidae	family
5	Muscidae	family
5	Riodinidae	family
2	Stomiidae	family
2	Lacertidae	family
5	Andesianidae	family
2	Characidae	family
5	Colletidae	family
5	Apidae	family
2	Centrolenidae	family
2	Aromobatidae	family
5	Thyrididae	family
2	Callichthyidae	family
2	Mugilidae	family
5	Acanthodrilidae	family
5	Amaurobiidae	family
2	Accipitridae	family
2	Testudinidae	family
2	Pomacentridae	family
5	Halocyprididae	family
2	Caproidae	family
2	Notopteridae	family
5	Silphidae	family
2	Percidae	family
2	Thraupidae	family
5	Ypsolophidae	family
2	Triacanthodidae	family
5	Coccinellidae	family
5	Myrmeleontidae	family
5	Onychoteuthidae	family
2	Motacillidae	family
5	Rissoidae	family
2	Gadidae	family
5	Corbiculidae	family
5	Pipunculidae	family
5	Lymnaeidae	family
5	Elachistidae	family
2	Loricariidae	family
5	Actinopodidae	family
2	Cichlidae	family
5	Rhyacophilidae	family
2	Monacanthidae	family
5	Ephemerellidae	family
5	Plutellidae	family
5	Ceratozetidae	family
5	Armadillidiidae	family
5	Lebertiidae	family
5	Megachilidae	family
2	Centrarchidae	family
2	Spheniscidae	family
2	Trionychidae	family
5	Rhagionidae	family
2	Myobatrachidae	family
5	Pediculidae	family
2	Carangidae	family
5	Brachionidae	family
5	Pallopteridae	family
2	Zeidae	family
5	Dolichopodidae	family
5	Tettigoniidae	family
5	Liturgusidae	family
5	Brentidae	family
2	Tyrannidae	family
2	Hominidae	family
5	Aradidae	family
5	Andrenidae	family
5	Limacodidae	family
2	Anoplopomatidae	family
2	Heptapteridae	family
2	Picidae	family
5	Pemphredonidae	family
5	Megalopygidae	family
5	Termitidae	family
2	Howellidae	family
5	Euphaeidae	family
5	Buccinidae	family
5	Pterolonchidae	family
5	Callianassidae	family
5	Heptageniidae	family
5	Ampithoidae	family
2	Fringillidae	family
5	Pulicidae	family
5	Limoniidae	family
5	Neritidae	family
5	Tenebrionidae	family
5	Asilidae	family
2	Oxudercidae	family
5	Oribatulidae	family
5	Nemouridae	family
5	Drosophilidae	family
5	Ixodidae	family
2	Leiognathidae	family
2	Diomedeidae	family
2	Laridae	family
2	Mimidae	family
5	Trichoniscidae	family
2	Vireonidae	family
5	Chloropidae	family
5	Empididae	family
5	Hydrobiidae	family
5	Batrachedridae	family
5	Thyasiridae	family
5	Scutelleridae	family
5	Hybotidae	family
5	Trigonidiidae	family
2	Scombridae	family
5	Milichiidae	family
5	Cyclopidae	family
2	Tetraodontidae	family
4	Campanulariidae	family
5	Rhynchohydracaridae	family
2	Hipposideridae	family
5	Pionidae	family
2	Viperidae	family
5	Cephidae	family
2	Columbidae	family
2	Scolopacidae	family
5	Ariophantidae	family
5	Acrididae	family
5	Caprellidae	family
5	Psenidae	family
5	Scythrididae	family
5	Gasteruptiidae	family
2	Pelecanidae	family
5	Chrysopidae	family
5	Varunidae	family
5	Macrobiotidae	family
5	Gammaridae	family
5	Buprestidae	family
2	Distichodontidae	family
5	Agriolimacidae	family
5	Phyllodocidae	family
5	Onychiuridae	family
5	Gnaphosidae	family
5	Conidae	family
5	Miridae	family
5	Chaoboridae	family
2	Heteromyidae	family
2	Platytroctidae	family
2	Dasyatidae	family
2	Scyliorhinidae	family
2	Paridae	family
5	Phenopelopidae	family
2	Geoemydidae	family
2	Muraenidae	family
5	Brahmaeidae	family
5	Gracillariidae	family
5	Phalangiidae	family
5	Enidae	family
2	Myrocongridae	family
2	Halosauridae	family
5	Cynipidae	family
2	Caesionidae	family
2	Labridae	family
2	Sparidae	family
5	Argyresthiidae	family
5	Arrenuridae	family
2	Leptodactylidae	family
5	Incurvariidae	family
2	Ranidae	family
2	Blenniidae	family
5	Atyidae	family
2	Linophrynidae	family
5	Apataniidae	family
2	Ophichthidae	family
5	Nephropidae	family
5	Cirratulidae	family
2	Channidae	family
5	Trochidae	family
2	Icteridae	family
5	Limnesiidae	family
2	Acanthuridae	family
5	Mytilidae	family
5	Naididae	family
5	Sarcophagidae	family
5	Laelapidae	family
2	Merlucciidae	family
5	Micropterigidae	family
2	Acipenseridae	family
5	Aleyrodidae	family
5	Simuliidae	family
2	Cheilodactylidae	family
5	Haemadipsidae	family
5	Chydoridae	family
5	Cyclotornidae	family
5	Diplommatinidae	family
5	Julidae	family
5	Liphistiidae	family
5	Processidae	family
5	Blastobasidae	family
5	Bembicidae	family
5	Cleridae	family
5	Syllidae	family
5	Ampullariidae	family
5	Immidae	family
5	Emplectonematidae	family
5	Chlorocyphidae	family
2	Cercopithecidae	family
5	Acartiidae	family
5	Hydroptilidae	family
5	Parastacidae	family
2	Eleotridae	family
2	Fundulidae	family
5	Cranchiidae	family
5	Epimeriidae	family
5	Glossoscolecidae	family
2	Cardinalidae	family
2	Chelidae	family
5	Hypogastruridae	family
2	Trochilidae	family
5	Euteliidae	family
5	Leptoceridae	family
5	Leptophlebiidae	family
2	Myctophidae	family
5	Dytiscidae	family
5	Eucalanidae	family
2	Apodidae	family
5	Lyctocoridae	family
5	Isotomidae	family
2	Osphronemidae	family
5	Ectobiidae	family
5	Daphniidae	family
2	Maluridae	family
5	Philanthidae	family
2	Congridae	family
5	Papilionidae	family
5	Cerionidae	family
2	Indicatoridae	family
5	Erythraeidae	family
5	Bodotriidae	family
5	Sematuridae	family
5	Hedylidae	family
2	Cheloniidae	family
5	Elateridae	family
5	Peloppiidae	family
5	Sciomyzidae	family
5	Polycentropodidae	family
5	Catophragmidae	family
5	Piophilidae	family
5	Cecidomyiidae	family
5	Terebellidae	family
5	Ergasilidae	family
5	Momphidae	family
5	Attevidae	family
5	Canthocamptidae	family
5	Mimallonidae	family
5	Rhinodrilidae	family
2	Sisoridae	family
5	Terebridae	family
5	Calopterygidae	family
5	Xyloryctidae	family
5	Dryinidae	family
5	Figitidae	family
5	Dermestidae	family
5	Cantharidae	family
2	Hepsetidae	family
5	Scraptiidae	family
4	Anthothelidae	family
2	Platacanthomyidae	family
5	Clubionidae	family
5	Glyphipterigidae	family
2	Stichaeidae	family
2	Centriscidae	family
2	Narcinidae	family
5	Lachesillidae	family
5	Hystrichopsyllidae	family
5	Brachioteuthidae	family
2	Ariommatidae	family
5	Dictynidae	family
5	Temoridae	family
5	Diaptomidae	family
5	Dendronotidae	family
5	Archaeobalanidae	family
5	Hyalellidae	family
5	Berytidae	family
5	Uloboridae	family
5	Octochaetidae	family
5	Ischyroceridae	family
5	Mutillidae	family
2	Sciaenidae	family
2	Mastacembelidae	family
5	Scirtidae	family
2	Ictaluridae	family
2	Grammatidae	family
5	Platycnemididae	family
5	Trachelidae	family
5	Haplozetidae	family
5	Pholcidae	family
2	Prunellidae	family
2	Alepocephalidae	family
5	Talitridae	family
5	Zonitidae	family
5	Aeshnidae	family
5	Dorididae	family
5	Thomisidae	family
5	Goeridae	family
5	Notonectidae	family
5	Neanuridae	family
5	Cybaeidae	family
5	Anyphaenidae	family
2	Molossidae	family
5	Lernaeidae	family
5	Sabellidae	family
2	Vespertilionidae	family
5	Hippoboscidae	family
5	Chamobatidae	family
2	Alestidae	family
5	Ozobranchidae	family
5	Sesarmidae	family
5	Panopeidae	family
5	Galumnidae	family
2	Clupeidae	family
2	Bovidae	family
5	Eupterotidae	family
5	Ancylidae	family
5	Palaemonidae	family
5	Polynoidae	family
2	Arthroleptidae	family
5	Siphonariidae	family
2	Belonidae	family
5	Lepidostomatidae	family
5	Margaritiferidae	family
2	Pelobatidae	family
5	Discidae	family
2	Hylodidae	family
5	Thripidae	family
5	Bulimulidae	family
5	Chthamalidae	family
2	Pipidae	family
5	Succineidae	family
2	Macrouridae	family
5	Nepticulidae	family
5	Megascolecidae	family
2	Felidae	family
5	Coelopidae	family
5	Diopsidae	family
2	Chaetodontidae	family
5	Lottiidae	family
2	Sylviidae	family
5	Veneridae	family
5	Almidae	family
5	Gnathiidae	family
2	Tripterygiidae	family
5	Halictophagidae	family
5	Punctidae	family
5	Tectocepheidae	family
5	Plectidae	family
5	Hemerobiidae	family
5	Unionidae	family
2	Balitoridae	family
5	Aeolidiidae	family
5	Hippolytidae	family
2	Passerellidae	family
2	Bothidae	family
5	Leiodidae	family
5	Helicarionidae	family
5	Nymphonidae	family
5	Arbaciidae	family
5	Zeilleriidae	family
5	Neobisiidae	family
2	Sphyrnidae	family
5	Reduviidae	family
2	Engraulidae	family
5	Blattisociidae	family
2	Nototheniidae	family
5	Sagittidae	family
5	Physidae	family
5	Tingidae	family
2	Spalacidae	family
5	Heliozelidae	family
2	Cynoglossidae	family
2	Cyclopteridae	family
2	Ophidiidae	family
2	Ephippidae	family
5	Ocnerodrilidae	family
5	Anthelidae	family
5	Aphalaridae	family
2	Psychrolutidae	family
2	Scorpaenidae	family
5	Carychiidae	family
5	Anystidae	family
5	Cymothoidae	family
5	Malacobdellidae	family
5	Bdellidae	family
5	Lineidae	family
5	Aeglidae	family
5	Lampyridae	family
5	Chiltoniidae	family
5	Hydrophilidae	family
5	Clambidae	family
5	Corydalidae	family
5	Erpobdellidae	family
5	Munididae	family
5	Euzetidae	family
5	Clastopteridae	family
5	Pteriidae	family
2	Catostomidae	family
2	Cracidae	family
2	Trogonidae	family
2	Gempylidae	family
5	Anthribidae	family
2	Anatidae	family
5	Palinuridae	family
2	Callionymidae	family
5	Sphaeromatidae	family
2	Gerreidae	family
5	Nierstraszellidae	family
5	Neoverrucidae	family
5	Stratiomyidae	family
5	Xiphydriidae	family
2	Peristediidae	family
2	Pipridae	family
5	Lycidae	family
5	Porcellionidae	family
5	Trichopsocidae	family
5	Psychidae	family
5	Moniligastridae	family
5	Forficulidae	family
2	Cetorhinidae	family
5	Ulidiidae	family
5	Lepidoptera	family
5	Spionidae	family
5	Phlaeothripidae	family
5	Raphitomidae	family
5	Hyalidae	family
5	Barychelidae	family
5	Trombiculidae	family
5	Olividae	family
5	Uraniidae	family
2	Diodontidae	family
5	Somatiidae	family
5	Aoridae	family
4	Alcyoniidae	family
2	Dendrobatidae	family
5	Rhinotermitidae	family
5	Lithodidae	family
5	Buthidae	family
5	Siboglinidae	family
5	Glossinidae	family
5	Unionicolidae	family
2	Muscicapidae	family
5	Agelenidae	family
2	Lophiidae	family
2	Hylobatidae	family
5	Helicophidae	family
5	Cosmopterigidae	family
5	Fionidae	family
5	Blattidae	family
2	Cyprinodontidae	family
4	Aeginidae	family
5	Aeolothripidae	family
2	Scincidae	family
2	Malacanthidae	family
2	Mullidae	family
5	Pupillidae	family
2	Turdidae	family
2	Craugastoridae	family
5	Elmidae	family
5	Philopteridae	family
5	Trichostrongylidae	family
2	Hapalogeniidae	family
2	Pentanchidae	family
5	Pseudothelphusidae	family
2	Lamprophiidae	family
2	Lebiasinidae	family
5	Melyridae	family
5	Zygaenidae	family
2	Mochokidae	family
5	Hygromiidae	family
5	Arionidae	family
5	Heterogastridae	family
5	Hydrobiosidae	family
5	Dalceridae	family
5	Gryllotalpidae	family
2	Haemulidae	family
2	Alcedinidae	family
5	Philomycidae	family
2	Suidae	family
5	Corethrellidae	family
5	Balanidae	family
5	Gomphidae	family
5	Odontoceridae	family
2	Balistidae	family
5	Anthomyzidae	family
2	Atherinidae	family
